TIMESTAMP RAD_KW_m2_Max RAD_KW_m2_Min
2012-03-16 11:00:00 1.127 0.889
2012-03-16 12:00:00 1.138 0.862
2012-03-16 13:00:00 1.135 0.503
2012-03-16 14:00:00 1.057 0.866
2012-03-16 15:00:00 0.922 0.705
2012-03-16 16:00:00 0.708 0.411
2012-03-16 17:00:00 0.413 0.131
2012-03-16 18:00:00 0.161 0.001
2012-03-16 19:00:00 0.001 0
2012-03-16 20:00:00 0 0
2012-03-16 21:00:00 0 0
2012-03-16 22:00:00 0 0
2012-03-16 23:00:00 0 0
2012-03-17 00:00:00 0 0
2012-03-17 01:00:00 0 0
2012-03-17 02:00:00 0 0
2012-03-17 03:00:00 0 0
2012-03-17 04:00:00 0 0
2012-03-17 05:00:00 0 0
2012-03-17 06:00:00 0.035 0
2012-03-17 07:00:00 0.229 0.03
2012-03-17 08:00:00 0.609 0.174
2012-03-17 09:00:00 0.903 0.436
2012-03-17 10:00:00 1.06 0.362
2012-03-17 11:00:00 1.241 0.323
2012-03-17 12:00:00 1.489 0.487
2012-03-17 13:00:00 1.262 0.513
2012-03-17 14:00:00 0.877 0.008
2012-03-17 15:00:00 0.694 0.374
2012-03-17 16:00:00 0.596 0.222
2012-03-17 17:00:00 0.287 0.119
2012-03-17 18:00:00 0.141 0.003
2012-03-17 19:00:00 0.003 0
2012-03-17 20:00:00 0 0
2012-03-17 21:00:00 0 0
2012-03-17 22:00:00 0 0
2012-03-17 23:00:00 0 0
2012-03-18 00:00:00 0 0
2012-03-18 01:00:00 0 0
2012-03-18 02:00:00 0 0
2012-03-18 03:00:00 0 0
2012-03-18 04:00:00 0 0
2012-03-18 05:00:00 0 0
2012-03-18 06:00:00 0.025 0
2012-03-18 07:00:00 0.236 0.025
2012-03-18 08:00:00 0.461 0.206
2012-03-18 09:00:00 0.776 0.422
2012-03-18 10:00:00 1.011 0.36
2012-03-18 11:00:00 1.291 0.383
2012-03-18 12:00:00 1.596 0.418
2012-03-18 13:00:00 1.57 0.414
2012-03-18 14:00:00 1.295 0.379
2012-03-18 15:00:00 1.261 0.273
2012-03-18 16:00:00 1.026 0.086
2012-03-18 17:00:00 0.437 0.086
2012-03-18 18:00:00 0.159 0.001
2012-03-18 19:00:00 0.001 0
2012-03-18 20:00:00 0 0
2012-03-18 21:00:00 0 0
2012-03-18 22:00:00 0 0
2012-03-18 23:00:00 0 0
2012-03-19 00:00:00 0 0
2012-03-19 01:00:00 0 0
2012-03-19 02:00:00 0 0
2012-03-19 03:00:00 0 0
2012-03-19 04:00:00 0 0
2012-03-19 05:00:00 0 0
2012-03-19 06:00:00 0.051 0
2012-03-19 07:00:00 0.306 0.052
2012-03-19 08:00:00 0.584 0.306
2012-03-19 09:00:00 0.819 0.585
2012-03-19 10:00:00 1.003 0.818
2012-03-19 11:00:00 1.103 1.001
2012-03-19 12:00:00 1.13 0.874
2012-03-19 13:00:00 1.125 0.509
2012-03-19 14:00:00 1.055 0.886
2012-03-19 15:00:00 1.083 0.229
2012-03-19 16:00:00 0.938 0.439
2012-03-19 17:00:00 0.438 0.104
2012-03-19 18:00:00 0.161 0.001
2012-03-19 19:00:00 0.001 0
2012-03-19 20:00:00 0 0
2012-03-19 21:00:00 0 0
2012-03-19 22:00:00 0 0
2012-03-19 23:00:00 0 0
2012-03-20 00:00:00 0 0
2012-03-20 01:00:00 0 0
2012-03-20 02:00:00 0 0
2012-03-20 03:00:00 0 0
2012-03-20 04:00:00 0 0
2012-03-20 05:00:00 0 0
2012-03-20 06:00:00 0.043 0
2012-03-20 07:00:00 0.294 0.045
2012-03-20 08:00:00 0.575 0.294
2012-03-20 09:00:00 0.804 0.576
2012-03-20 10:00:00 1.073 0.804
2012-03-20 11:00:00 1.23 0.2
2012-03-20 12:00:00 1.284 0.323
2012-03-20 13:00:00 1.34 0.248
2012-03-20 14:00:00 1.186 0.162
2012-03-20 15:00:00 0.975 0.178
2012-03-20 16:00:00 0.686 0.169
2012-03-20 17:00:00 0.417 0.049
2012-03-20 18:00:00 0.052 0.001
2012-03-20 19:00:00 0.001 0
2012-03-20 20:00:00 0 0
2012-03-20 21:00:00 0 0
2012-03-20 22:00:00 0 0
2012-03-20 23:00:00 0 0
2012-03-21 00:00:00 0 0
2012-03-21 01:00:00 0 0
2012-03-21 02:00:00 0 0
2012-03-21 03:00:00 0 0
2012-03-21 04:00:00 0 0
2012-03-21 05:00:00 0 0
2012-03-21 06:00:00 0.016 0
2012-03-21 07:00:00 0.108 0.016
2012-03-21 08:00:00 0.689 0.108
2012-03-21 09:00:00 1.166 0.336
2012-03-21 10:00:00 1.232 0.496
2012-03-21 11:00:00 1.525 0.649
2012-03-21 12:00:00 1.47 0.31
2012-03-21 13:00:00 0.799 0.124
2012-03-21 14:00:00 0.752 0.086
2012-03-21 15:00:00 0.132 0.013
2012-03-21 16:00:00 0.207 0.04
2012-03-21 17:00:00 0.133 0.04
2012-03-21 18:00:00 0.143 0.001
2012-03-21 19:00:00 0.001 0
2012-03-21 20:00:00 0 0
2012-03-21 21:00:00 0 0
2012-03-21 22:00:00 0 0
2012-03-21 23:00:00 0 0
2012-03-22 00:00:00 0 0
2012-03-22 01:00:00 0 0
2012-03-22 02:00:00 0 0
2012-03-22 03:00:00 0 0
2012-03-22 04:00:00 0 0
2012-03-22 05:00:00 0 0
2012-03-22 06:00:00 0.053 0
2012-03-22 07:00:00 0.297 0.054
2012-03-22 08:00:00 0.573 0.297
2012-03-22 09:00:00 0.808 0.574
2012-03-22 10:00:00 0.988 0.807
2012-03-22 11:00:00 1.425 0.377
2012-03-22 12:00:00 1.586 0.358
2012-03-22 13:00:00 1.511 0.345
2012-03-22 14:00:00 1.393 0.353
2012-03-22 15:00:00 0.945 0.218
2012-03-22 16:00:00 0.716 0.154
2012-03-22 17:00:00 0.54 0.046
2012-03-22 18:00:00 0.109 0.001
2012-03-22 19:00:00 0.001 0
2012-03-22 20:00:00 0 0
2012-03-22 21:00:00 0 0
2012-03-22 22:00:00 0 0
2012-03-22 23:00:00 0 0
2012-03-23 00:00:00 0 0
2012-03-23 01:00:00 0 0
2012-03-23 02:00:00 0 0
2012-03-23 03:00:00 0 0
2012-03-23 04:00:00 0 0
2012-03-23 05:00:00 0 0
2012-03-23 06:00:00 0.059 0
2012-03-23 07:00:00 0.311 0.06
2012-03-23 08:00:00 0.589 0.311
2012-03-23 09:00:00 0.815 0.585
2012-03-23 10:00:00 1.012 0.817
2012-03-23 11:00:00 1.142 0.162
2012-03-23 12:00:00 1.37 0.257
2012-03-23 13:00:00 1.344 0.282
2012-03-23 14:00:00 1.216 0.251
2012-03-23 15:00:00 1.106 0.261
2012-03-23 16:00:00 0.838 0.103
2012-03-23 17:00:00 0.128 0.053
2012-03-23 18:00:00 0.133 0.001
2012-03-23 19:00:00 0.001 0
2012-03-23 20:00:00 0 0
2012-03-23 21:00:00 0 0
2012-03-23 22:00:00 0 0
2012-03-23 23:00:00 0 0
2012-03-24 00:00:00 0 0
2012-03-24 01:00:00 0 0
2012-03-24 02:00:00 0 0
2012-03-24 03:00:00 0 0
2012-03-24 04:00:00 0 0
2012-03-24 05:00:00 0 0
2012-03-24 06:00:00 0.044 0
2012-03-24 07:00:00 0.301 0.034
2012-03-24 08:00:00 0.582 0.301
2012-03-24 09:00:00 0.816 0.583
2012-03-24 10:00:00 0.991 0.817
2012-03-24 11:00:00 1.096 0.988
2012-03-24 12:00:00 1.253 0.171
2012-03-24 13:00:00 1.248 0.247
2012-03-24 14:00:00 1.219 0.32
2012-03-24 15:00:00 0.941 0.288
2012-03-24 16:00:00 0.779 0.118
2012-03-24 17:00:00 0.379 0.05
2012-03-24 18:00:00 0.062 0.001
2012-03-24 19:00:00 0.001 0
2012-03-24 20:00:00 0 0
2012-03-24 21:00:00 0 0
2012-03-24 22:00:00 0 0
2012-03-24 23:00:00 0 0
2012-03-25 00:00:00 0 0
2012-03-25 01:00:00 0 0
2012-03-25 02:00:00 0 0
2012-03-25 03:00:00 0 0
2012-03-25 04:00:00 0 0
2012-03-25 05:00:00 0 0
2012-03-25 06:00:00 0.012 0
2012-03-25 07:00:00 0.308 0.012
2012-03-25 08:00:00 0.587 0.308
2012-03-25 09:00:00 0.92 0.344
2012-03-25 10:00:00 1.063 0.459
2012-03-25 11:00:00 1.118 0.958
2012-03-25 12:00:00 1.145 0.898
2012-03-25 13:00:00 1.248 0.336
2012-03-25 14:00:00 1.18 0.529
2012-03-25 15:00:00 0.98 0.513
2012-03-25 16:00:00 0.956 0.069
2012-03-25 17:00:00 0.152 0.047
2012-03-25 18:00:00 0.088 0.001
2012-03-25 19:00:00 0.001 0
2012-03-25 20:00:00 0 0
2012-03-25 21:00:00 0 0
2012-03-25 22:00:00 0 0
2012-03-25 23:00:00 0 0
2012-03-26 00:00:00 0 0
2012-03-26 01:00:00 0 0
2012-03-26 02:00:00 0 0
2012-03-26 03:00:00 0 0
2012-03-26 04:00:00 0 0
2012-03-26 05:00:00 0 0
2012-03-26 06:00:00 0.062 0
2012-03-26 07:00:00 0.297 0.055
2012-03-26 08:00:00 0.597 0.158
2012-03-26 09:00:00 0.953 0.254
2012-03-26 10:00:00 1.111 0.247
2012-03-26 11:00:00 1.131 0.693
2012-03-26 12:00:00 1.206 0.186
2012-03-26 13:00:00 1.235 0.246
2012-03-26 14:00:00 1.123 0.909
2012-03-26 15:00:00 0.959 0.231
2012-03-26 16:00:00 0.839 0.085
2012-03-26 17:00:00 0.46 0.082
2012-03-26 18:00:00 0.146 0.001
2012-03-26 19:00:00 0.001 0
2012-03-26 20:00:00 0 0
2012-03-26 21:00:00 0 0
2012-03-26 22:00:00 0 0
2012-03-26 23:00:00 0 0
2012-03-27 00:00:00 0 0
2012-03-27 01:00:00 0 0
2012-03-27 02:00:00 0 0
2012-03-27 03:00:00 0 0
2012-03-27 04:00:00 0 0
2012-03-27 05:00:00 0 0
2012-03-27 06:00:00 0.067 0
2012-03-27 07:00:00 0.321 0.068
2012-03-27 08:00:00 0.596 0.321
2012-03-27 09:00:00 0.839 0.594
2012-03-27 10:00:00 1 0.835
2012-03-27 11:00:00 1.096 0.98
2012-03-27 12:00:00 1.119 0.882
2012-03-27 13:00:00 1.234 0.299
2012-03-27 14:00:00 1.135 0.601
2012-03-27 15:00:00 1.057 0.151
2012-03-27 16:00:00 0.726 0.084
2012-03-27 17:00:00 0.311 0.069
2012-03-27 18:00:00 0.144 0.001
2012-03-27 19:00:00 0.001 0
2012-03-27 20:00:00 0 0
2012-03-27 21:00:00 0 0
2012-03-27 22:00:00 0 0
2012-03-27 23:00:00 0 0
2012-03-28 00:00:00 0 0
2012-03-28 01:00:00 0 0
2012-03-28 02:00:00 0 0
2012-03-28 03:00:00 0 0
2012-03-28 04:00:00 0 0
2012-03-28 05:00:00 0 0
2012-03-28 06:00:00 0.015 0
2012-03-28 07:00:00 0.358 0.015
2012-03-28 08:00:00 0.578 0.057
2012-03-28 09:00:00 0.886 0.337
2012-03-28 10:00:00 1.347 0.231
2012-03-28 11:00:00 1.461 0.192
2012-03-28 12:00:00 1.644 0.308
2012-03-28 13:00:00 1.429 0.185
2012-03-28 14:00:00 1.27 0.279
2012-03-28 15:00:00 1.16 0.092
2012-03-28 16:00:00 0.744 0.109
2012-03-28 17:00:00 0.592 0.07
2012-03-28 18:00:00 0.147 0.001
2012-03-28 19:00:00 0.001 0
2012-03-28 20:00:00 0 0
2012-03-28 21:00:00 0 0
2012-03-28 22:00:00 0 0
2012-03-28 23:00:00 0 0
2012-03-29 00:00:00 0 0
2012-03-29 01:00:00 0 0
2012-03-29 02:00:00 0 0
2012-03-29 03:00:00 0 0
2012-03-29 04:00:00 0 0
2012-03-29 05:00:00 0 0
2012-03-29 06:00:00 0.035 0
2012-03-29 07:00:00 0.324 0.037
2012-03-29 08:00:00 0.604 0.322
2012-03-29 09:00:00 0.827 0.602
2012-03-29 10:00:00 1.006 0.812
2012-03-29 11:00:00 1.102 1.004
2012-03-29 12:00:00 1.124 0.898
2012-03-29 13:00:00 1.125 0.564
2012-03-29 14:00:00 1.331 0.371
2012-03-29 15:00:00 1.229 0.276
2012-03-29 16:00:00 0.67 0.215
2012-03-29 17:00:00 0.466 0.186
2012-03-29 18:00:00 0.184 0.001
2012-03-29 19:00:00 0.001 0
2012-03-29 20:00:00 0 0
2012-03-29 21:00:00 0 0
2012-03-29 22:00:00 0 0
2012-03-29 23:00:00 0 0
2012-03-30 00:00:00 0 0
2012-03-30 01:00:00 0 0
2012-03-30 02:00:00 0 0
2012-03-30 03:00:00 0 0
2012-03-30 04:00:00 0 0
2012-03-30 05:00:00 0 0
2012-03-30 06:00:00 0.07 0
2012-03-30 07:00:00 0.329 0.07
2012-03-30 08:00:00 0.601 0.329
2012-03-30 09:00:00 0.843 0.6
2012-03-30 10:00:00 1.027 0.726
2012-03-30 11:00:00 1.13 0.886
2012-03-30 12:00:00 1.189 0.648
2012-03-30 13:00:00 1.34 0.309
2012-03-30 14:00:00 1.127 0.201
2012-03-30 15:00:00 0.932 0.148
2012-03-30 16:00:00 0.588 0.148
2012-03-30 17:00:00 0.474 0.11
2012-03-30 18:00:00 0.119 0.002
2012-03-30 19:00:00 0.002 0
2012-03-30 20:00:00 0 0
2012-03-30 21:00:00 0 0
2012-03-30 22:00:00 0 0
2012-03-30 23:00:00 0 0
2012-03-31 00:00:00 0 0
2012-03-31 01:00:00 0 0
2012-03-31 02:00:00 0 0
2012-03-31 03:00:00 0 0
2012-03-31 04:00:00 0 0
2012-03-31 05:00:00 0 0
2012-03-31 06:00:00 0.07 0
2012-03-31 07:00:00 0.358 0.064
2012-03-31 08:00:00 0.642 0.198
2012-03-31 09:00:00 0.878 0.488
2012-03-31 10:00:00 1.014 0.785
2012-03-31 11:00:00 1.118 1.005
2012-03-31 12:00:00 1.242 0.208
2012-03-31 13:00:00 1.38 0.239
2012-03-31 14:00:00 1.245 0.278
2012-03-31 15:00:00 0.954 0.455
2012-03-31 16:00:00 0.751 0.264
2012-03-31 17:00:00 0.495 0.098
2012-03-31 18:00:00 0.098 0.001
2012-03-31 19:00:00 0.001 0
2012-03-31 20:00:00 0 0
2012-03-31 21:00:00 0 0
2012-03-31 22:00:00 0 0
2012-03-31 23:00:00 0 0
2012-04-01 00:00:00 0 0
2012-04-01 01:00:00 0 0
2012-04-01 02:00:00 0 0
2012-04-01 03:00:00 0 0
2012-04-01 04:00:00 0 0
2012-04-01 05:00:00 0 0
2012-04-01 06:00:00 0.055 0
2012-04-01 07:00:00 0.105 0.055
2012-04-01 08:00:00 0.542 0.08
2012-04-01 09:00:00 0.788 0.258
2012-04-01 10:00:00 1.032 0.66
2012-04-01 11:00:00 1.145 0.48
2012-04-01 12:00:00 1.182 0.368
2012-04-01 13:00:00 1.051 0.308
2012-04-01 14:00:00 1.231 0.28
2012-04-01 15:00:00 0.332 0.122
2012-04-01 16:00:00 0.527 0.126
2012-04-01 17:00:00 0.383 0.115
2012-04-01 18:00:00 0.115 0.001
2012-04-01 19:00:00 0.001 0
2012-04-01 20:00:00 0 0
2012-04-01 21:00:00 0 0
2012-04-01 22:00:00 0 0
2012-04-01 23:00:00 0 0
2012-04-02 00:00:00 0 0
2012-04-02 01:00:00 0 0
2012-04-02 02:00:00 0 0
2012-04-02 03:00:00 0 0
2012-04-02 04:00:00 0 0
2012-04-02 05:00:00 0 0
2012-04-02 06:00:00 0.045 0
2012-04-02 07:00:00 0.299 0.045
2012-04-02 08:00:00 0.616 0.201
2012-04-02 09:00:00 0.832 0.255
2012-04-02 10:00:00 0.96 0.491
2012-04-02 11:00:00 1.181 0.684
2012-04-02 12:00:00 1.393 0.359
2012-04-02 13:00:00 1.397 0.472
2012-04-02 14:00:00 1.088 0.4
2012-04-02 15:00:00 0.787 0.182
2012-04-02 16:00:00 0.19 0.003
2012-04-02 17:00:00 0.035 0.003
2012-04-02 18:00:00 0.037 0
2012-04-02 19:00:00 0 0
2012-04-02 20:00:00 0 0
2012-04-02 21:00:00 0 0
2012-04-02 22:00:00 0 0
2012-04-02 23:00:00 0 0
2012-04-03 00:00:00 0 0
2012-04-03 01:00:00 0 0
2012-04-03 02:00:00 0 0
2012-04-03 03:00:00 0 0
2012-04-03 04:00:00 0 0
2012-04-03 05:00:00 0 0
2012-04-03 06:00:00 0.026 0
2012-04-03 07:00:00 0.211 0.025
2012-04-03 08:00:00 0.718 0.168
2012-04-03 09:00:00 0.722 0.41
2012-04-03 10:00:00 1.108 0.252
2012-04-03 11:00:00 1.342 0.451
2012-04-03 12:00:00 1.323 0.41
2012-04-03 13:00:00 1.3 0.248
2012-04-03 14:00:00 0.238 0.004
2012-04-03 15:00:00 0.055 0.017
2012-04-03 16:00:00 0.13 0.033
2012-04-03 17:00:00 0.133 0.014
2012-04-03 18:00:00 0.014 0
2012-04-03 19:00:00 0 0
2012-04-03 20:00:00 0 0
2012-04-03 21:00:00 0 0
2012-04-03 22:00:00 0 0
2012-04-03 23:00:00 0 0
2012-04-04 00:00:00 0 0
2012-04-04 01:00:00 0 0
2012-04-04 02:00:00 0 0
2012-04-04 03:00:00 0 0
2012-04-04 04:00:00 0 0
2012-04-04 05:00:00 0 0
2012-04-04 06:00:00 0.066 0
2012-04-04 07:00:00 0.376 0.054
2012-04-04 08:00:00 0.652 0.144
2012-04-04 09:00:00 0.912 0.581
2012-04-04 10:00:00 1.288 0.294
2012-04-04 11:00:00 1.368 0.213
2012-04-04 12:00:00 1.362 0.182
2012-04-04 13:00:00 1.52 0.27
2012-04-04 14:00:00 1.268 0.333
2012-04-04 15:00:00 1.281 0.076
2012-04-04 16:00:00 0.102 0.018
2012-04-04 17:00:00 0.033 0.01
2012-04-04 18:00:00 0.021 0
2012-04-04 19:00:00 0 0
2012-04-04 20:00:00 0 0
2012-04-04 21:00:00 0 0
2012-04-04 22:00:00 0 0
2012-04-04 23:00:00 0 0
2012-04-05 00:00:00 0 0
2012-04-05 01:00:00 0 0
2012-04-05 02:00:00 0 0
2012-04-05 03:00:00 0 0
2012-04-05 04:00:00 0 0
2012-04-05 05:00:00 0 0
2012-04-05 06:00:00 0.008 0
2012-04-05 07:00:00 0.099 0.008
2012-04-05 08:00:00 0.208 0.099
2012-04-05 09:00:00 0.504 0.17
2012-04-05 10:00:00 1.046 0.478
2012-04-05 11:00:00 1.267 0.568
2012-04-05 12:00:00 0.664 0.391
2012-04-05 13:00:00 0.632 0.311
2012-04-05 14:00:00 1.037 0.41
2012-04-05 15:00:00 0.981 0.336
2012-04-05 16:00:00 0.392 0.165
2012-04-05 17:00:00 0.228 0.092
2012-04-05 18:00:00 0.149 0
2012-04-05 19:00:00 0 0
2012-04-05 20:00:00 0 0
2012-04-05 21:00:00 0 0
2012-04-05 22:00:00 0 0
2012-04-05 23:00:00 0 0
2012-04-06 00:00:00 0 0
2012-04-06 01:00:00 0 0
2012-04-06 02:00:00 0 0
2012-04-06 03:00:00 0 0
2012-04-06 04:00:00 0 0
2012-04-06 05:00:00 0 0
2012-04-06 06:00:00 0.069 0
2012-04-06 07:00:00 0.409 0.067
2012-04-06 08:00:00 0.609 0.357
2012-04-06 09:00:00 0.855 0.613
2012-04-06 10:00:00 1.029 0.852
2012-04-06 11:00:00 1.228 0.29
2012-04-06 12:00:00 1.304 0.283
2012-04-06 13:00:00 1.245 0.294
2012-04-06 14:00:00 1.128 0.325
2012-04-06 15:00:00 0.995 0.187
2012-04-06 16:00:00 0.21 0.052
2012-04-06 17:00:00 0.097 0.048
2012-04-06 18:00:00 0.076 0
2012-04-06 19:00:00 0 0
2012-04-06 20:00:00 0 0
2012-04-06 21:00:00 0 0
2012-04-06 22:00:00 0 0
2012-04-06 23:00:00 0 0
2012-04-07 00:00:00 0 0
2012-04-07 01:00:00 0 0
2012-04-07 02:00:00 0 0
2012-04-07 03:00:00 0 0
2012-04-07 04:00:00 0 0
2012-04-07 05:00:00 0 0
2012-04-07 06:00:00 0.071 0
2012-04-07 07:00:00 0.414 0.065
2012-04-07 08:00:00 0.62 0.313
2012-04-07 09:00:00 0.775 0.379
2012-04-07 10:00:00 1.153 0.374
2012-04-07 11:00:00 1.179 0.553
2012-04-07 12:00:00 1.237 0.474
2012-04-07 13:00:00 1.044 0.388
2012-04-07 14:00:00 1.162 0.374
2012-04-07 15:00:00 0.944 0.321
2012-04-07 16:00:00 0.597 0.119
2012-04-07 17:00:00 0.119 0.036
2012-04-07 18:00:00 0.048 0
2012-04-07 19:00:00 0 0
2012-04-07 20:00:00 0 0
2012-04-07 21:00:00 0 0
2012-04-07 22:00:00 0 0
2012-04-07 23:00:00 0 0
2012-04-08 00:00:00 0 0
2012-04-08 01:00:00 0 0
2012-04-08 02:00:00 0 0
2012-04-08 03:00:00 0 0
2012-04-08 04:00:00 0 0
2012-04-08 05:00:00 0 0
2012-04-08 06:00:00 0.045 0
2012-04-08 07:00:00 0.2 0.045
2012-04-08 08:00:00 0.839 0.113
2012-04-08 09:00:00 0.882 0.31
2012-04-08 10:00:00 1.306 0.352
2012-04-08 11:00:00 1.131 0.349
2012-04-08 12:00:00 1.444 0.359
2012-04-08 13:00:00 1.395 0.36
2012-04-08 14:00:00 1.278 0.34
2012-04-08 15:00:00 0.409 0.193
2012-04-08 16:00:00 0.645 0.124
2012-04-08 17:00:00 0.175 0.098
2012-04-08 18:00:00 0.132 0.001
2012-04-08 19:00:00 0.001 0
2012-04-08 20:00:00 0 0
2012-04-08 21:00:00 0 0
2012-04-08 22:00:00 0 0
2012-04-08 23:00:00 0 0
2012-04-09 00:00:00 0 0
2012-04-09 01:00:00 0 0
2012-04-09 02:00:00 0 0
2012-04-09 03:00:00 0 0
2012-04-09 04:00:00 0 0
2012-04-09 05:00:00 0 0
2012-04-09 06:00:00 0.029 0
2012-04-09 07:00:00 0.355 0.026
2012-04-09 08:00:00 0.62 0.355
2012-04-09 09:00:00 0.851 0.62
2012-04-09 10:00:00 1.025 0.851
2012-04-09 11:00:00 1.125 1.025
2012-04-09 12:00:00 1.14 0.939
2012-04-09 13:00:00 1.129 0.617
2012-04-09 14:00:00 1.083 0.8
2012-04-09 15:00:00 0.929 0.311
2012-04-09 16:00:00 0.647 0.166
2012-04-09 17:00:00 0.412 0.07
2012-04-09 18:00:00 0.112 0.001
2012-04-09 19:00:00 0.001 0
2012-04-09 20:00:00 0 0
2012-04-09 21:00:00 0 0
2012-04-09 22:00:00 0 0
2012-04-09 23:00:00 0 0
2012-04-10 00:00:00 0 0
2012-04-10 01:00:00 0 0
2012-04-10 02:00:00 0 0
2012-04-10 03:00:00 0 0
2012-04-10 04:00:00 0 0
2012-04-10 05:00:00 0 0
2012-04-10 06:00:00 0.055 0
2012-04-10 07:00:00 0.292 0.051
2012-04-10 08:00:00 0.625 0.211
2012-04-10 09:00:00 0.859 0.495
2012-04-10 10:00:00 1.027 0.861
2012-04-10 11:00:00 1.116 1.023
2012-04-10 12:00:00 1.135 0.928
2012-04-10 13:00:00 1.157 0.68
2012-04-10 14:00:00 1.074 0.288
2012-04-10 15:00:00 0.947 0.198
2012-04-10 16:00:00 0.665 0.167
2012-04-10 17:00:00 0.324 0.038
2012-04-10 18:00:00 0.038 0.001
2012-04-10 19:00:00 0.001 0
2012-04-10 20:00:00 0 0
2012-04-10 21:00:00 0 0
2012-04-10 22:00:00 0 0
2012-04-10 23:00:00 0 0
2012-04-11 00:00:00 0 0
2012-04-11 01:00:00 0 0
2012-04-11 02:00:00 0 0
2012-04-11 03:00:00 0 0
2012-04-11 04:00:00 0 0
2012-04-11 05:00:00 0 0
2012-04-11 06:00:00 0.038 0
2012-04-11 07:00:00 0.362 0.029
2012-04-11 08:00:00 0.641 0.181
2012-04-11 09:00:00 0.882 0.417
2012-04-11 10:00:00 1.206 0.581
2012-04-11 11:00:00 1.132 1.034
2012-04-11 12:00:00 1.282 0.435
2012-04-11 13:00:00 1.326 0.435
2012-04-11 14:00:00 0.724 0.387
2012-04-11 15:00:00 0.73 0.328
2012-04-11 16:00:00 0.656 0.236
2012-04-11 17:00:00 0.357 0.056
2012-04-11 18:00:00 0.06 0.001
2012-04-11 19:00:00 0.001 0
2012-04-11 20:00:00 0 0
2012-04-11 21:00:00 0 0
2012-04-11 22:00:00 0 0
2012-04-11 23:00:00 0 0
2012-04-12 00:00:00 0 0
2012-04-12 01:00:00 0 0
2012-04-12 02:00:00 0 0
2012-04-12 03:00:00 0 0
2012-04-12 04:00:00 0 0
2012-04-12 05:00:00 0 0
2012-04-12 06:00:00 0.038 0
2012-04-12 07:00:00 0.364 0.038
2012-04-12 08:00:00 0.677 0.203
2012-04-12 09:00:00 1.045 0.272
2012-04-12 10:00:00 1.083 0.659
2012-04-12 11:00:00 1.133 0.787
2012-04-12 12:00:00 1.164 0.709
2012-04-12 13:00:00 1.112 0.629
2012-04-12 14:00:00 1.083 0.262
2012-04-12 15:00:00 0.978 0.432
2012-04-12 16:00:00 0.681 0.239
2012-04-12 17:00:00 0.257 0.099
2012-04-12 18:00:00 0.099 0.001
2012-04-12 19:00:00 0.001 0
2012-04-12 20:00:00 0 0
2012-04-12 21:00:00 0 0
2012-04-12 22:00:00 0 0
2012-04-12 23:00:00 0 0
2012-04-13 00:00:00 0 0
2012-04-13 01:00:00 0 0
2012-04-13 02:00:00 0 0
2012-04-13 03:00:00 0 0
2012-04-13 04:00:00 0 0
2012-04-13 05:00:00 0 0
2012-04-13 06:00:00 0.047 0
2012-04-13 07:00:00 0.355 0.048
2012-04-13 08:00:00 0.62 0.355
2012-04-13 09:00:00 0.827 0.621
2012-04-13 10:00:00 1.009 0.822
2012-04-13 11:00:00 1.086 1.004
2012-04-13 12:00:00 1.113 0.929
2012-04-13 13:00:00 1.191 0.213
2012-04-13 14:00:00 1.209 0.289
2012-04-13 15:00:00 0.879 0.195
2012-04-13 16:00:00 0.697 0.184
2012-04-13 17:00:00 0.478 0.105
2012-04-13 18:00:00 0.168 0.001
2012-04-13 19:00:00 0.001 0
2012-04-13 20:00:00 0 0
2012-04-13 21:00:00 0 0
2012-04-13 22:00:00 0 0
2012-04-13 23:00:00 0 0
2012-04-14 00:00:00 0 0
2012-04-14 01:00:00 0 0
2012-04-14 02:00:00 0 0
2012-04-14 03:00:00 0 0
2012-04-14 04:00:00 0 0
2012-04-14 05:00:00 0 0
2012-04-14 06:00:00 0.039 0
2012-04-14 07:00:00 0.339 0.04
2012-04-14 08:00:00 0.622 0.339
2012-04-14 09:00:00 0.816 0.609
2012-04-14 10:00:00 1.022 0.792
2012-04-14 11:00:00 1.149 0.92
2012-04-14 12:00:00 1.162 0.342
2012-04-14 13:00:00 1.322 0.345
2012-04-14 14:00:00 1.185 0.272
2012-04-14 15:00:00 0.966 0.29
2012-04-14 16:00:00 0.458 0.115
2012-04-14 17:00:00 0.412 0.124
2012-04-14 18:00:00 0.165 0.001
2012-04-14 19:00:00 0.001 0
2012-04-14 20:00:00 0 0
2012-04-14 21:00:00 0 0
2012-04-14 22:00:00 0 0
2012-04-14 23:00:00 0 0
2012-04-15 00:00:00 0 0
2012-04-15 01:00:00 0 0
2012-04-15 02:00:00 0 0
2012-04-15 03:00:00 0 0
2012-04-15 04:00:00 0 0
2012-04-15 05:00:00 0 0
2012-04-15 06:00:00 0.064 0
2012-04-15 07:00:00 0.359 0.068
2012-04-15 08:00:00 0.621 0.359
2012-04-15 09:00:00 0.849 0.622
2012-04-15 10:00:00 1.028 0.85
2012-04-15 11:00:00 1.116 0.921
2012-04-15 12:00:00 1.346 0.236
2012-04-15 13:00:00 1.263 0.251
2012-04-15 14:00:00 1.186 0.171
2012-04-15 15:00:00 1.035 0.231
2012-04-15 16:00:00 0.774 0.064
2012-04-15 17:00:00 0.232 0.045
2012-04-15 18:00:00 0.113 0.001
2012-04-15 19:00:00 0.001 0
